,OR,conc,Firefly,Renilla,Normalized,Project,Plate,Row,Column,Renilla_bgnorm,Firefly_bgnorm,Background_Subtracted,Background_Divided,plate-type,exp datetime
0,AR_53,1,94.9304,1725,0.0550322,EXP_025_50_01 Secondary Screen/map1,Neg,A,1,1,1,1,1,no-odor,2023-01-18 15:16:25
1,AR_53,1,86.6978,1772.04,0.0489254,EXP_025_50_01 Secondary Screen/map1,Neg,A,2,1,1,1,1,no-odor,2023-01-18 15:16:25
2,AR_53,1,134.917,1594.45,0.0846168,EXP_025_50_01 Secondary Screen/map1,Neg,A,3,1,1,1,1,no-odor,2023-01-18 15:16:25
3,AR_101,1,133.741,2036.67,0.0656668,EXP_025_50_01 Secondary Screen/map1,Neg,A,4,1,1,1,1,no-odor,2023-01-18 15:16:25
4,AR_101,1,84.3457,2076.65,0.0406161,EXP_025_50_01 Secondary Screen/map1,Neg,A,5,1,1,1,1,no-odor,2023-01-18 15:16:25
5,AR_101,1,133.741,2457.71,0.054417,EXP_025_50_01 Secondary Screen/map1,Neg,A,6,1,1,1,1,no-odor,2023-01-18 15:16:25
6,AR_74,1,327.796,2667.06,0.122905,EXP_025_50_01 Secondary Screen/map1,Neg,A,7,1,1,1,1,no-odor,2023-01-18 15:16:25
7,AR_74,1,437.172,3048.12,0.143423,EXP_025_50_01 Secondary Screen/map1,Neg,A,8,1,1,1,1,no-odor,2023-01-18 15:16:25
8,AR_74,1,413.65,2171.92,0.190454,EXP_025_50_01 Secondary Screen/map1,Neg,A,9,1,1,1,1,no-odor,2023-01-18 15:16:25
9,Rho-pCI,1,330.148,3280.99,0.100624,EXP_025_50_01 Secondary Screen/map1,Neg,A,10,1,1,1,1,no-odor,2023-01-18 15:16:25
10,Rho-pCI,1,416.003,3786.73,0.109858,EXP_025_50_01 Secondary Screen/map1,Neg,A,11,1,1,1,1,no-odor,2023-01-18 15:16:25
11,Rho-pCI,1,323.091,3525.63,0.0916408,EXP_025_50_01 Secondary Screen/map1,Neg,A,12,1,1,1,1,no-odor,2023-01-18 15:16:25
12,AR_53,2,147.854,1619.15,0.0913161,EXP_025_50_01 Secondary Screen/map1,Neg,B,1,1,1,1,1,no-odor,2023-01-18 15:16:25
13,AR_53,2,116.1,2371.86,0.048949,EXP_025_50_01 Secondary Screen/map1,Neg,B,2,1,1,1,1,no-odor,2023-01-18 15:16:25
14,AR_53,2,111.396,1353.35,0.082311,EXP_025_50_01 Secondary Screen/map1,Neg,B,3,1,1,1,1,no-odor,2023-01-18 15:16:25
15,AR_101,2,125.509,2062.54,0.0608515,EXP_025_50_01 Secondary Screen/map1,Neg,B,4,1,1,1,1,no-odor,2023-01-18 15:16:25
16,AR_101,2,137.27,1810.85,0.0758038,EXP_025_50_01 Secondary Screen/map1,Neg,B,5,1,1,1,1,no-odor,2023-01-18 15:16:25
17,AR_101,2,100.811,1990.8,0.0506384,EXP_025_50_01 Secondary Screen/map1,Neg,B,6,1,1,1,1,no-odor,2023-01-18 15:16:25
18,AR_74,2,384.248,2358.92,0.162892,EXP_025_50_01 Secondary Screen/map1,Neg,B,7,1,1,1,1,no-odor,2023-01-18 15:16:25
19,AR_74,2,554.781,1990.8,0.278673,EXP_025_50_01 Secondary Screen/map1,Neg,B,8,1,1,1,1,no-odor,2023-01-18 15:16:25
20,AR_74,2,494.801,1764.99,0.280343,EXP_025_50_01 Secondary Screen/map1,Neg,B,9,1,1,1,1,no-odor,2023-01-18 15:16:25
21,Rho-pCI,2,365.431,2942.27,0.1242,EXP_025_50_01 Secondary Screen/map1,Neg,B,10,1,1,1,1,no-odor,2023-01-18 15:16:25
22,Rho-pCI,2,404.242,2435.37,0.165988,EXP_025_50_01 Secondary Screen/map1,Neg,B,11,1,1,1,1,no-odor,2023-01-18 15:16:25
23,Rho-pCI,2,321.915,307.802,1.04585,EXP_025_50_01 Secondary Screen/map1,Neg,B,12,1,1,1,1,no-odor,2023-01-18 15:16:25
24,AR_53,3,111.396,1610.92,0.0691505,EXP_025_50_01 Secondary Screen/map1,Neg,C,1,1,1,1,1,no-odor,2023-01-18 15:16:25
25,AR_53,3,144.326,1940.23,0.0743862,EXP_025_50_01 Secondary Screen/map1,Neg,C,2,1,1,1,1,no-odor,2023-01-18 15:16:25
26,AR_53,3,192.546,2398.91,0.0802639,EXP_025_50_01 Secondary Screen/map1,Neg,C,3,1,1,1,1,no-odor,2023-01-18 15:16:25
27,AR_101,3,91.4022,1776.75,0.0514436,EXP_025_50_01 Secondary Screen/map1,Neg,C,4,1,1,1,1,no-odor,2023-01-18 15:16:25
28,AR_101,3,183.137,1844.96,0.0992633,EXP_025_50_01 Secondary Screen/map1,Neg,C,5,1,1,1,1,no-odor,2023-01-18 15:16:25
29,AR_101,3,118.452,1680.31,0.0704944,EXP_025_50_01 Secondary Screen/map1,Neg,C,6,1,1,1,1,no-odor,2023-01-18 15:16:25
30,AR_74,3,468.927,1880.24,0.249397,EXP_025_50_01 Secondary Screen/map1,Neg,C,7,1,1,1,1,no-odor,2023-01-18 15:16:25
31,AR_74,3,446.581,1683.83,0.265217,EXP_025_50_01 Secondary Screen/map1,Neg,C,8,1,1,1,1,no-odor,2023-01-18 15:16:25
32,AR_74,3,503.033,1795.56,0.280153,EXP_025_50_01 Secondary Screen/map1,Neg,C,9,1,1,1,1,no-odor,2023-01-18 15:16:25
33,Rho-pCI,3,316.035,2382.44,0.132652,EXP_025_50_01 Secondary Screen/map1,Neg,C,10,1,1,1,1,no-odor,2023-01-18 15:16:25
34,Rho-pCI,3,340.733,3145.74,0.108316,EXP_025_50_01 Secondary Screen/map1,Neg,C,11,1,1,1,1,no-odor,2023-01-18 15:16:25
35,Rho-pCI,3,383.072,3083.41,0.124237,EXP_025_50_01 Secondary Screen/map1,Neg,C,12,1,1,1,1,no-odor,2023-01-18 15:16:25
36,AR_53,4,119.628,1267.49,0.0943816,EXP_025_50_01 Secondary Screen/map1,Neg,D,1,1,1,1,1,no-odor,2023-01-18 15:16:25
37,AR_53,4,106.691,2015.5,0.0529355,EXP_025_50_01 Secondary Screen/map1,Neg,D,2,1,1,1,1,no-odor,2023-01-18 15:16:25
38,AR_53,4,224.3,1874.36,0.119667,EXP_025_50_01 Secondary Screen/map1,Neg,D,3,1,1,1,1,no-odor,2023-01-18 15:16:25
39,AR_101,4,116.1,1699.12,0.0683293,EXP_025_50_01 Secondary Screen/map1,Neg,D,4,1,1,1,1,no-odor,2023-01-18 15:16:25
40,AR_101,4,124.333,2056.66,0.0604536,EXP_025_50_01 Secondary Screen/map1,Neg,D,5,1,1,1,1,no-odor,2023-01-18 15:16:25
41,AR_101,4,99.6348,1520.36,0.0655338,EXP_025_50_01 Secondary Screen/map1,Neg,D,6,1,1,1,1,no-odor,2023-01-18 15:16:25
42,AR_74,4,394.833,2474.18,0.159581,EXP_025_50_01 Secondary Screen/map1,Neg,D,7,1,1,1,1,no-odor,2023-01-18 15:16:25
43,AR_74,4,512.442,1781.45,0.287654,EXP_025_50_01 Secondary Screen/map1,Neg,D,8,1,1,1,1,no-odor,2023-01-18 15:16:25
